
2024/02/02 (19:33:11) | ===> btop++ v.1.3.0
2024/02/02 (19:33:11) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/20 (11:24:10) | ===> btop++ v.1.3.2
2024/02/20 (11:24:10) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/20 (11:31:19) | ===> btop++ v.1.3.2
2024/02/20 (11:31:19) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/20 (11:32:37) | ===> btop++ v.1.3.2
2024/02/20 (11:32:37) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/21 (15:00:44) | ===> btop++ v.1.3.2
2024/02/21 (15:00:44) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/21 (15:03:05) | ===> btop++ v.1.3.2
2024/02/21 (15:03:05) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/21 (15:04:17) | ===> btop++ v.1.3.2
2024/02/21 (15:04:17) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/21 (15:06:33) | ===> btop++ v.1.3.2
2024/02/21 (15:06:33) | ERROR: Invalid size of hex value: 1E1E2E80

2024/02/24 (11:43:18) | ===> btop++ v.1.3.2
2024/02/24 (11:43:18) | ERROR: Invalid size of hex value: 1E1E2E80
